Name,sample_size,power
Mean timing of light below 10 lx (hh:mm),40,1
Mean timing of light below 10 lx (hh:mm),41,1
Mean timing of light below 10 lx (hh:mm),42,1
Mean timing of light below 10 lx (hh:mm),43,1
Mean timing of light below 10 lx (hh:mm),44,1
Mean timing of light below 10 lx (hh:mm),45,1
Mean timing of light below 10 lx (hh:mm),46,1
Mean timing of light below 10 lx (hh:mm),47,1
Mean timing of light below 10 lx (hh:mm),48,1
Mean timing of light below 10 lx (hh:mm),49,1
Mean timing of light below 10 lx (hh:mm),50,1
"Midpoint of brightest 10 hours (M10, hh:mm)",3,0.814
"Midpoint of brightest 10 hours (M10, hh:mm)",4,0.903
"Midpoint of brightest 10 hours (M10, hh:mm)",5,0.943
"Midpoint of brightest 10 hours (M10, hh:mm)",6,0.973
"Midpoint of brightest 10 hours (M10, hh:mm)",7,0.979
"Midpoint of brightest 10 hours (M10, hh:mm)",8,0.99
"Midpoint of brightest 10 hours (M10, hh:mm)",9,0.994
"Midpoint of brightest 10 hours (M10, hh:mm)",10,0.996
"Midpoint of brightest 10 hours (M10, hh:mm)",11,0.999
"Midpoint of brightest 10 hours (M10, hh:mm)",12,0.999
"Midpoint of brightest 10 hours (M10, hh:mm)",13,1
"Midpoint of brightest 10 hours (M10, hh:mm)",14,1
"Midpoint of brightest 10 hours (M10, hh:mm)",15,1
"Midpoint of brightest 10 hours (M10, hh:mm)",16,1
"Midpoint of brightest 10 hours (M10, hh:mm)",17,1
"Midpoint of brightest 10 hours (M10, hh:mm)",18,1
"Midpoint of brightest 10 hours (M10, hh:mm)",19,1
"Midpoint of brightest 10 hours (M10, hh:mm)",20,1
"Midpoint of brightest 10 hours (M10, hh:mm)",21,1
"Midpoint of brightest 10 hours (M10, hh:mm)",22,1
"Midpoint of brightest 10 hours (M10, hh:mm)",23,1
"Midpoint of brightest 10 hours (M10, hh:mm)",24,1
"Midpoint of brightest 10 hours (M10, hh:mm)",25,1
"Midpoint of brightest 10 hours (M10, hh:mm)",26,1
"Midpoint of brightest 10 hours (M10, hh:mm)",27,1
"Midpoint of brightest 10 hours (M10, hh:mm)",28,1
"Midpoint of brightest 10 hours (M10, hh:mm)",29,1
"Midpoint of brightest 10 hours (M10, hh:mm)",30,1
"Midpoint of brightest 10 hours (M10, hh:mm)",31,1
"Midpoint of brightest 10 hours (M10, hh:mm)",32,1
"Midpoint of brightest 10 hours (M10, hh:mm)",33,1
"Midpoint of brightest 10 hours (M10, hh:mm)",34,1
"Midpoint of brightest 10 hours (M10, hh:mm)",35,1
"Midpoint of brightest 10 hours (M10, hh:mm)",36,1
"Midpoint of brightest 10 hours (M10, hh:mm)",37,1
"Midpoint of brightest 10 hours (M10, hh:mm)",38,1
"Midpoint of brightest 10 hours (M10, hh:mm)",39,1
"Midpoint of brightest 10 hours (M10, hh:mm)",40,1
"Midpoint of brightest 10 hours (M10, hh:mm)",41,1
"Midpoint of brightest 10 hours (M10, hh:mm)",42,1
"Midpoint of brightest 10 hours (M10, hh:mm)",43,1
"Midpoint of brightest 10 hours (M10, hh:mm)",44,1
"Midpoint of brightest 10 hours (M10, hh:mm)",45,1
"Midpoint of brightest 10 hours (M10, hh:mm)",46,1
"Midpoint of brightest 10 hours (M10, hh:mm)",47,1
"Midpoint of brightest 10 hours (M10, hh:mm)",48,1
"Midpoint of brightest 10 hours (M10, hh:mm)",49,1
"Midpoint of brightest 10 hours (M10, hh:mm)",50,1
"Midpoint of darkest 5 hours (L5, hh:mm)",3,0.302
"Midpoint of darkest 5 hours (L5, hh:mm)",4,0.323
"Midpoint of darkest 5 hours (L5, hh:mm)",5,0.289
"Midpoint of darkest 5 hours (L5, hh:mm)",6,0.306
"Midpoint of darkest 5 hours (L5, hh:mm)",7,0.281
"Midpoint of darkest 5 hours (L5, hh:mm)",8,0.275
"Midpoint of darkest 5 hours (L5, hh:mm)",9,0.273
"Midpoint of darkest 5 hours (L5, hh:mm)",10,0.291
"Midpoint of darkest 5 hours (L5, hh:mm)",11,0.291
